token,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,call_put
77135,ABBOTINDIA,2024-08-29,24500.0,20,OPTSTK,NFO,5.000000,CE
90299,ABBOTINDIA,2024-08-29,26250.0,20,OPTSTK,NFO,5.000000,PE
90317,ABBOTINDIA,2024-08-29,30750.0,20,OPTSTK,NFO,5.000000,PE
77305,ABBOTINDIA,2024-08-29,32500.0,20,OPTSTK,NFO,5.000000,PE
77160,ABBOTINDIA,2024-08-29,26000.0,20,OPTSTK,NFO,5.000000,CE
90306,ABBOTINDIA,2024-08-29,28250.0,20,OPTSTK,NFO,5.000000,CE
77267,ABBOTINDIA,2024-08-29,29000.0,20,OPTSTK,NFO,5.000000,PE
90310,ABBOTINDIA,2024-08-29,29250.0,20,OPTSTK,NFO,5.000000,CE
90313,ABBOTINDIA,2024-08-29,29750.0,20,OPTSTK,NFO,5.000000,PE
77257,ABBOTINDIA,2024-08-29,28500.0,20,OPTSTK,NFO,5.000000,PE
90305,ABBOTINDIA,2024-08-29,27750.0,20,OPTSTK,NFO,5.000000,PE
90320,ABBOTINDIA,2024-08-29,31250.0,20,OPTSTK,NFO,5.000000,CE
90302,ABBOTINDIA,2024-08-29,27250.0,20,OPTSTK,NFO,5.000000,CE
77294,ABBOTINDIA,2024-08-29,30500.0,20,OPTSTK,NFO,5.000000,CE
77253,ABBOTINDIA,2024-08-29,27500.0,20,OPTSTK,NFO,5.000000,PE
77271,ABBOTINDIA,2024-08-29,29500.0,20,OPTSTK,NFO,5.000000,PE
77256,ABBOTINDIA,2024-08-29,28500.0,20,OPTSTK,NFO,5.000000,CE
90303,ABBOTINDIA,2024-08-29,27250.0,20,OPTSTK,NFO,5.000000,PE
77302,ABBOTINDIA,2024-08-29,32000.0,20,OPTSTK,NFO,5.000000,CE
90295,ABBOTINDIA,2024-08-29,25250.0,20,OPTSTK,NFO,5.000000,PE
90314,ABBOTINDIA,2024-08-29,30250.0,20,OPTSTK,NFO,5.000000,CE
90312,ABBOTINDIA,2024-08-29,29750.0,20,OPTSTK,NFO,5.000000,CE
77301,ABBOTINDIA,2024-08-29,31500.0,20,OPTSTK,NFO,5.000000,PE
90304,ABBOTINDIA,2024-08-29,27750.0,20,OPTSTK,NFO,5.000000,CE
77136,ABBOTINDIA,2024-08-29,24500.0,20,OPTSTK,NFO,5.000000,PE
90311,ABBOTINDIA,2024-08-29,29250.0,20,OPTSTK,NFO,5.000000,PE
90292,ABBOTINDIA,2024-08-29,24750.0,20,OPTSTK,NFO,5.000000,CE
77027,ABBOTINDIA,2024-08-29,23000.0,20,OPTSTK,NFO,5.000000,CE
77304,ABBOTINDIA,2024-08-29,32500.0,20,OPTSTK,NFO,5.000000,CE
77268,ABBOTINDIA,2024-08-29,29500.0,20,OPTSTK,NFO,5.000000,CE
77303,ABBOTINDIA,2024-08-29,32000.0,20,OPTSTK,NFO,5.000000,PE
77248,ABBOTINDIA,2024-08-29,27500.0,20,OPTSTK,NFO,5.000000,CE
77272,ABBOTINDIA,2024-08-29,30000.0,20,OPTSTK,NFO,5.000000,CE
77306,ABBOTINDIA,2024-08-29,33000.0,20,OPTSTK,NFO,5.000000,CE
77266,ABBOTINDIA,2024-08-29,29000.0,20,OPTSTK,NFO,5.000000,CE
77255,ABBOTINDIA,2024-08-29,28000.0,20,OPTSTK,NFO,5.000000,PE
77298,ABBOTINDIA,2024-08-29,31500.0,20,OPTSTK,NFO,5.000000,CE
90297,ABBOTINDIA,2024-08-29,25750.0,20,OPTSTK,NFO,5.000000,PE
77246,ABBOTINDIA,2024-08-29,27000.0,20,OPTSTK,NFO,5.000000,CE
90316,ABBOTINDIA,2024-08-29,30750.0,20,OPTSTK,NFO,5.000000,CE
77150,ABBOTINDIA,2024-08-29,25500.0,20,OPTSTK,NFO,5.000000,CE
77149,ABBOTINDIA,2024-08-29,25000.0,20,OPTSTK,NFO,5.000000,PE
77293,ABBOTINDIA,2024-08-29,30000.0,20,OPTSTK,NFO,5.000000,PE
77134,ABBOTINDIA,2024-08-29,24000.0,20,OPTSTK,NFO,5.000000,PE
77295,ABBOTINDIA,2024-08-29,30500.0,20,OPTSTK,NFO,5.000000,PE
90309,ABBOTINDIA,2024-08-29,28750.0,20,OPTSTK,NFO,5.000000,PE
77244,ABBOTINDIA,2024-08-29,26500.0,20,OPTSTK,NFO,5.000000,CE
77159,ABBOTINDIA,2024-08-29,25500.0,20,OPTSTK,NFO,5.000000,PE
77060,ABBOTINDIA,2024-08-29,23500.0,20,OPTSTK,NFO,5.000000,PE
90294,ABBOTINDIA,2024-08-29,25250.0,20,OPTSTK,NFO,5.000000,CE
77059,ABBOTINDIA,2024-08-29,23500.0,20,OPTSTK,NFO,5.000000,CE
90321,ABBOTINDIA,2024-08-29,31250.0,20,OPTSTK,NFO,5.000000,PE
90301,ABBOTINDIA,2024-08-29,26750.0,20,OPTSTK,NFO,5.000000,PE
90296,ABBOTINDIA,2024-08-29,25750.0,20,OPTSTK,NFO,5.000000,CE
77254,ABBOTINDIA,2024-08-29,28000.0,20,OPTSTK,NFO,5.000000,CE
77297,ABBOTINDIA,2024-08-29,31000.0,20,OPTSTK,NFO,5.000000,PE
90293,ABBOTINDIA,2024-08-29,24750.0,20,OPTSTK,NFO,5.000000,PE
90308,ABBOTINDIA,2024-08-29,28750.0,20,OPTSTK,NFO,5.000000,CE
77058,ABBOTINDIA,2024-08-29,23000.0,20,OPTSTK,NFO,5.000000,PE
90307,ABBOTINDIA,2024-08-29,28250.0,20,OPTSTK,NFO,5.000000,PE
90298,ABBOTINDIA,2024-08-29,26250.0,20,OPTSTK,NFO,5.000000,CE
77296,ABBOTINDIA,2024-08-29,31000.0,20,OPTSTK,NFO,5.000000,CE
77247,ABBOTINDIA,2024-08-29,27000.0,20,OPTSTK,NFO,5.000000,PE
77137,ABBOTINDIA,2024-08-29,25000.0,20,OPTSTK,NFO,5.000000,CE
90315,ABBOTINDIA,2024-08-29,30250.0,20,OPTSTK,NFO,5.000000,PE
77133,ABBOTINDIA,2024-08-29,24000.0,20,OPTSTK,NFO,5.000000,CE
35513,ABCAPITAL,2024-08-29,-0.01,5400,FUTSTK,NFO,1.000000,ABCAPITALAUGFUT
35008,ABCAPITAL,2024-09-26,-0.01,5400,FUTSTK,NFO,1.000000,ABCAPITALSEPFUT
77614,ABCAPITAL,2024-08-29,195.0,5400,OPTSTK,NFO,5.000000,PE
77705,ABCAPITAL,2024-08-29,205.0,5400,OPTSTK,NFO,5.000000,PE
77721,ABCAPITAL,2024-08-29,220.0,5400,OPTSTK,NFO,5.000000,PE
77720,ABCAPITAL,2024-08-29,220.0,5400,OPTSTK,NFO,5.000000,CE
77716,ABCAPITAL,2024-08-29,215.0,5400,OPTSTK,NFO,5.000000,CE
77846,ABCAPITAL,2024-08-29,255.0,5400,OPTSTK,NFO,5.000000,CE
90807,ABCAPITAL,2024-08-29,252.5,5400,OPTSTK,NFO,5.000000,.PE
90800,ABCAPITAL,2024-08-29,237.5,5400,OPTSTK,NFO,5.000000,.CE
90679,ABCAPITAL,2024-08-29,177.5,5400,OPTSTK,NFO,5.000000,.PE
77707,ABCAPITAL,2024-08-29,210.0,5400,OPTSTK,NFO,5.000000,PE
77845,ABCAPITAL,2024-08-29,250.0,5400,OPTSTK,NFO,5.000000,PE
77638,ABCAPITAL,2024-08-29,200.0,5400,OPTSTK,NFO,5.000000,CE
77591,ABCAPITAL,2024-08-29,175.0,5400,OPTSTK,NFO,5.000000,CE
77833,ABCAPITAL,2024-08-29,245.0,5400,OPTSTK,NFO,5.000000,CE
90789,ABCAPITAL,2024-08-29,207.5,5400,OPTSTK,NFO,5.000000,.PE
77604,ABCAPITAL,2024-08-29,185.0,5400,OPTSTK,NFO,5.000000,PE
90791,ABCAPITAL,2024-08-29,212.5,5400,OPTSTK,NFO,5.000000,.PE
77849,ABCAPITAL,2024-08-29,255.0,5400,OPTSTK,NFO,5.000000,PE
77828,ABCAPITAL,2024-08-29,240.0,5400,OPTSTK,NFO,5.000000,CE
77706,ABCAPITAL,2024-08-29,210.0,5400,OPTSTK,NFO,5.000000,CE
77588,ABCAPITAL,2024-08-29,170.0,5400,OPTSTK,NFO,5.000000,PE
90677,ABCAPITAL,2024-08-29,172.5,5400,OPTSTK,NFO,5.000000,.PE
77592,ABCAPITAL,2024-08-29,175.0,5400,OPTSTK,NFO,5.000000,PE
90793,ABCAPITAL,2024-08-29,217.5,5400,OPTSTK,NFO,5.000000,.PE
90788,ABCAPITAL,2024-08-29,207.5,5400,OPTSTK,NFO,5.000000,.CE
90734,ABCAPITAL,2024-08-29,182.5,5400,OPTSTK,NFO,5.000000,.PE
90738,ABCAPITAL,2024-08-29,192.5,5400,OPTSTK,NFO,5.000000,.PE
77864,ABCAPITAL,2024-08-29,270.0,5400,OPTSTK,NFO,5.000000,CE
77766,ABCAPITAL,2024-08-29,235.0,5400,OPTSTK,NFO,5.000000,PE
90795,ABCAPITAL,2024-08-29,222.5,5400,OPTSTK,NFO,5.000000,.PE
